,29.71,⸮9⸮8817.00
-410.70,30.86,5269
-406.35,31.83,5281
-405.49,31.23,5293
-411.46,30.13,5305
-411.21,29.21,5316
-408.20,28.93,5327
-407.97,29.38,5340
-411.56,31.61,5351
-410.81,32.04,5363
-405.44,30.24,5374
-407.86,29.24,5387
-410.45,28.20,5398
-414.26,28.20,5410
-406.97,29.63,5422
-407.81,32.20,5434
-406.54,32.74,5445
-408.47,30.89,5457
-409.93,29.92,5469
-410.39,28.57,5481
-409.53,28.14,5492
-413.21,29.62,5504
-409.92,31.35,5516
-402.86,31.67,5527
-408.38,29.82,5539
-413.12,29.43,5551
-411.82,28.69,5563
-410.06,28.88,5574
-406.34,31.54,5586
-408.04,32.90,5598
-407.48,31.95,5610
-408.35,29.89,5621
-409.24,28.31,5634
-414.09,27.64,5645
-411.18,28.25,5657
-408.67,30.81,5668
-410.42,32.56,5680
-403.23,31.40,5692
-406.76,30.58,5703
-413.17,29.39,5715
-410.26,28.83,5727
-409.89,29.04,5739
-409.57,31.14,5750
-406.96,31.89,5763
-410.36,29.78,5774
-409.29,29.29,5786
-409.10,28.37,5797
-411.65,28.43,5810
-410.12,29.80,5821
-409.80,32.28,5833
-404.11,32.43,5844
-407.66,30.84,5856
-411.85,29.99,5868
-412.14,28.35,5879
-409.53,28.25,5892
-407.63,29.61,5903
-411.26,31.55,5915
-410.05,31.38,5926
-406.38,29.61,5939
-409.75,29.32,5950
-413.45,28.68,5962
-408.70,29.28,5974
-413.34,31.22,5986
-409.30,32.64,5997
-401.47,31.55,6008
-408.86,29.74,6021
-414.62,28.65,6032
-411.08,27.73,6044
-410.22,28.38,6055
-409.54,30.63,6068
-411.00,32.68,6079
-408.09,31.37,6091
-406.31,30.38,6103
-408.79,29.53,6115
-411.51,28.95,6126
-411.89,29.45,6138
-411.43,31.53,6150
-406.77,31.92,6162
-405.54,29.99,6173
-410.78,29.01,6184
-410.99,28.28,6197
-410.49,28.13,6208
-408.76,29.98,6220
-409.15,32.55,6232
-407.61,33.06,6244
-405.17,30.91,6255
-409.24,29.74,6267
-413.37,28.37,6279
-411.04,27.72,6291
-410.46,29.41,6302
-408.24,31.51,6315
-405.79,31.63,6326
-408.63,30.36,6338
-412.17,29.71,6349
-409.96,28.80,6361
-408.78,29.15,6373
-410.25,31.22,6384
-409.90,32.50,6396
-407.30,31.69,6408
-406.47,29.71,6420
-409.96,28.66,6431
-414.99,27.97,6444
-411.02,28.19,6455
-408.97,31.01,6467
-408.54,32.65,6478
-406.73,31.95,6491
-409.62,30.53,6502
-410.80,29.20,6514
-408.72,28.44,6525
-410.32,28.87,6537
-410.92,30.92,6549
-411.24,31.54,6560
-406.57,30.13,6573
-411.97,29.19,6584
-415.87,28.72,6596
-407.03,28.75,6607
-408.66,30.09,6620
-409.19,32.83,6631
-404.97,32.77,6643
-410.02,30.50,6654
-412.98,29.16,6667
-406.34,27.75,6678
-414.35,27.69,6689
-411.25,29.67,6702
-408.24,31.79,6713
-406.74,31.84,6725
-407.02,30.33,6736
-409.24,29.66,6749
-416.32,28.95,6760
-409.01,28.85,6772
-406.68,30.73,6784
-409.99,32.06,6796
-408.23,31.22,6807
-408.69,29.48,6819
-411.01,28.60,6831
-409.70,28.00,6843
-411.96,28.70,6854
-412.12,31.19,6865
-407.58,32.65,6878
-404.85,31.60,6889
-405.80,30.42,6901
-412.68,29.17,6913
-414.72,28.29,6925
-406.25,28.54,6936
-408.48,31.19,6948
-412.49,31.75,6960
-406.35,30.51,6972
-407.89,29.42,6983
-411.02,28.83,6995
-412.17,28.96,7007
-410.97,29.83,7019
-408.59,32.19,7030
-403.99,32.41,7042
-407.32,30.82,7054
-413.70,29.61,7065
-411.89,28.30,7077
-407.56,27.98,7089
-411.56,29.29,7101
-410.09,31.81,7112
-407.44,31.98,7124
-407.16,30.47,7136
-409.65,29.53,7148
-411.40,29.10,7159
-413.16,28.77,7172
-409.79,31.21,7183
-407.33,32.40,7195
-405.32,31.68,7206
-409.08,29.51,7218
-412.99,28.47,7230
-411.39,27.76,7241
-409.41,28.31,7254
-411.29,31.12,7265
-412.02,32.83,7277
-404.19,31.96,7288
-406.42,30.31,7301
