319.0,8816
-312692.00,779965.0,13018
-313589.00,780038.0,13029
-313113.00,779966.0,13041
-311982.00,779959.0,13052
-312499.00,780207.0,13065
-313226.00,780419.0,13076
-313461.00,780378.0,13088
-312855.00,780262.0,13100
-312248.00,780049.0,13111
-312363.00,779814.0,13123
-313134.00,779906.0,13134
-313383.00,779971.0,13147
-312604.00,779980.0,13158
-312799.00,780195.0,13170
-312599.00,780376.0,13181
-312422.00,780311.0,13194
-312527.00,780203.0,13205
-312620.00,780189.0,13217
-313347.00,779851.0,13229
-313475.00,779767.0,13241
-312679.00,779892.0,13252
-312374.00,780026.0,13264
-312639.00,780181.0,13276
-312802.00,780472.0,13288
-312935.00,780294.0,13299
-312771.00,779961.0,13312
-312198.00,779849.0,13323
-312338.00,779700.0,13335
-313774.00,779683.0,13346
-313183.00,779772.0,13359
-312109.00,779814.0,13370
-312757.00,780052.0,13382
-313008.00,780492.0,13393
-312998.00,780596.0,13406
-312811.00,780337.0,13417
-312519.00,779936.0,13429
-312355.00,779677.0,13441
-313335.00,779682.0,13453
-313567.00,779738.0,13464
-312611.00,779786.0,13476
-312311.00,780095.0,13488
-312419.00,780569.0,13500
-313329.00,780655.0,13511
-313236.00,780430.0,13523
-311954.00,780015.0,13535
-311975.00,779662.0,13547
-312971.00,779590.0,13558
-313861.00,779750.0,13571
-313320.00,779921.0,13582
-311858.00,780254.0,13594
-313064.00,780402.0,13605
-313386.00,780384.0,13618
-312272.00,780072.0,13629
-312119.00,779798.0,13641
-312884.00,779778.0,13652
-313064.00,779847.0,13665
-313481.00,779737.0,13676
-313223.00,779742.0,13688
-311822.00,779929.0,13700
-311838.00,780260.0,13712
-313489.00,780355.0,13723
-313255.00,780200.0,13735
-311991.00,779980.0,13747
-312660.00,779830.0,13759
-313067.00,779906.0,13770
-312788.00,779856.0,13783
-313313.00,779955.0,13794
-312913.00,780048.0,13806
-312047.00,780102.0,13817
-312682.00,780350.0,13830
-313543.00,780220.0,13841
-312679.00,780099.0,13853
-311923.00,780072.0,13864
-312708.00,779903.0,13877
-313068.00,779759.0,13888
-313324.00,779770.0,13900
-312934.00,779899.0,13912
-312099.00,780296.0,13924
-312379.00,780615.0,13935
-312867.00,780552.0,13946
-312953.00,780292.0,13959
-312445.00,779950.0,13970
-312692.00,779743.0,13982
-313227.00,779475.0,13995
-313786.00,779443.0,14006
-312244.00,779914.0,14017
-311861.00,780244.0,14029
-313188.00,780492.0,14041
-313361.00,780578.0,14053
-312965.00,780334.0,14064
-312332.00,779737.0,14076
-312250.00,779350.0,14088
-313042.00,779404.0,14100
-313647.00,779727.0,14111
-312614.00,780147.0,14124
-311899.00,780382.0,14135
-312718.00,780580.0,14147
-313411.00,780440.0,14158
-313345.00,779909.0,14171
-312484.00,779672.0,14182
-312235.00,779635.0,14194
-313184.00,779774.0,14205
-313655.00,779892.0,14218
-312566.00,780247.0,14229
-312096.00,780456.0,14241
-312369.00,780316.0,14253
-312682.00,780163.0,14265
-313151.00,779991.0,14276
-312984.00,779721.0,14288
-312409.00,779847.0,14300
-312727.00,780043.0,14312
-313459.00,780161.0,14323
-313371.00,780307.0,14336
-312372.00,780392.0,14347
-311781.00,780402.0,14359
-312626.00,780129.0,14370
-313043.00,779916.0,14383
-312362.00,779762.0,14394
-312330.00,779784.0,14406
-313305.00,780116.0,14417
-313520.00,780434.0,14430
-311921.00,780398.0,14441
-312231.00,780254.0,14453
-313017.00,779978.0,14465
-313281.00,779697.0,14477
-313537.00,779648.0,14488
-312343.00,779824.0,14500
-311996.00,780091.0,14512
-313136.00,780256.0,14524
-313595.00,780265.0,14535
-312821.00,780060.0,14547
-311857.00,779762.0,14559
-311830.00,779792.0,14571
-313375.00,779865.0,14582
-314012.00,780115.0,14595
-312650.00,780195.0,14606
