27742.0,145668
-264339.00,928042.0,150706
-263875.00,928232.0,150718
-263887.00,928464.0,150729
-264910.00,928394.0,150742
-264613.00,928037.0,150753
-264390.00,927746.0,150765
-263986.00,927749.0,150776
-264745.00,927669.0,150789
-265346.00,927749.0,150800
-264056.00,927961.0,150812
-264279.00,928136.0,150823
-264228.00,928454.0,150836
-264069.00,928507.0,150847
-265080.00,928598.0,150859
-264330.00,928305.0,150871
-263650.00,928054.0,150883
-264974.00,927925.0,150894
-265420.00,927645.0,150906
-264382.00,927585.0,150918
-264580.00,927819.0,150930
-265063.00,927957.0,150941
-264920.00,928127.0,150953
-265261.00,928462.0,150965
-263496.00,928439.0,150977
-264126.00,928080.0,150988
-264467.00,927981.0,151001
-264620.00,927935.0,151012
-264452.00,927624.0,151024
-264536.00,927236.0,151035
-264793.00,927045.0,151048
-264391.00,927311.0,151059
-265506.00,927531.0,151071
-264378.00,928037.0,151083
-263375.00,928479.0,151095
-265094.00,928595.0,151106
-264542.00,928652.0,151118
-264089.00,928325.0,151130
-264597.00,927777.0,151142
-264010.00,927488.0,151153
-264605.00,927420.0,151165
-265013.00,927474.0,151177
-265043.00,927688.0,151189
-264421.00,928017.0,151200
-264203.00,928318.0,151213
-264586.00,928467.0,151224
-264278.00,928513.0,151236
-264150.00,928458.0,151247
-263908.00,928261.0,151260
-264491.00,928044.0,151271
-264539.00,927931.0,151283
-264702.00,927697.0,151294
-264818.00,927461.0,151307
-264305.00,927667.0,151318
-265140.00,927949.0,151330
-264242.00,928256.0,151342
-264771.00,928374.0,151354
-263511.00,928269.0,151365
-264850.00,928413.0,151377
-264714.00,928463.0,151389
-264024.00,928114.0,151401
-264852.00,927836.0,151412
-264458.00,927549.0,151425
-264562.00,927526.0,151436
-264709.00,927580.0,151448
-264474.00,927925.0,151459
-264519.00,928148.0,151472
-264094.00,928449.0,151483
-263919.00,928482.0,151495
-264416.00,928426.0,151506
-264507.00,928249.0,151519
-264504.00,927961.0,151530
-264177.00,927689.0,151542
-264238.00,927561.0,151554
-265343.00,927569.0,151566
-264831.00,927833.0,151577
-263815.00,928071.0,151589
-264403.00,928240.0,151601
-264598.00,928374.0,151613
-264344.00,928322.0,151624
-264718.00,928308.0,151636
-264080.00,928280.0,151648
-263949.00,928181.0,151660
-265511.00,927818.0,151671
-264312.00,927692.0,151684
-264307.00,927772.0,151695
-264731.00,927813.0,151707
-264132.00,928102.0,151718
-264483.00,928268.0,151731
-264097.00,928355.0,151742
-263976.00,928478.0,151754
-264614.00,928332.0,151766
-265253.00,928043.0,151777
-264396.00,927645.0,151789
-264486.00,927350.0,151800
-264916.00,927206.0,151813
-264757.00,927238.0,151824
-264835.00,927391.0,151836
-264801.00,927932.0,151847
-263924.00,928205.0,151860
-264522.00,928329.0,151871
-265233.00,928297.0,151883
-263958.00,928024.0,151895
-263719.00,927842.0,151907
-264598.00,927848.0,151918
-264988.00,927664.0,151930
-265235.00,927588.0,151942
-265079.00,927503.0,151954
-264257.00,927615.0,151965
-264261.00,928012.0,151977
-265397.00,928195.0,151989
-264640.00,928518.0,152001
-263484.00,928739.0,152012
-263890.00,928730.0,152025
-264866.00,928375.0,152036
-264963.00,927744.0,152048
-264511.00,927318.0,152059
-264175.00,927234.0,152072
-264125.00,927635.0,152083
-265432.00,928031.0,152095
-265098.00,928137.0,152107
-264278.00,928372.0,152119
-263711.00,928526.0,152130
-264866.00,928547.0,152142
-264998.00,928171.0,152154
-264149.00,927877.0,152166
-264207.00,927683.0,152177
-264787.00,927432.0,152189
-265154.00,927472.0,152201
-264962.00,927710.0,152213
-264215.00,927997.0,152224
-264434.00,928026.0,152237
-264303.00,928296.0,152248
-264233.00,928314.0,152260
-264865.00,928234.0,152271
-264001.00,928140.0,152284
-264007.00,928089.0,152295
-264797.00,927863.0,152307
-264582.00,927716.0,152318
-264714.00,927680.0,152331
-265145.00,927430.0,152342
-264514.00,927456.0,152354
-263698.00,927919.0,152366
-264561.00,928462.0,152378
-264815.00,928538.0,152389
-264801.00,928541.0,152401
-264296.00,928441.0,152413
-263697.00,927997.0,152425
-265066.00,927643.0,152436
-264883.00,927257.0,152449
-264233.00,927310.0,152460
-264443.00,927805.0,152472
-264523.00,928306.0,152483
-265212.00,928664.0,152496
-264949.00,928494.0,152507
-263604.00,928204.0,152519
-263935.00,928036.0,152530
-264803.00,928081.0,152543
-265118.00,928020.0,152554
-264647.00,927840.0,152566
-264227.00,927783.0,152578
-264371.00,927556.0,152590
-264387.00,927460.0,152601
-265458.00,927444.0,152613
-264553.00,927606.0,152625
-263284.00,927971.0,152637
-264215.00,928442.0,152648
-264497.00,928634.0,152660
-264942.00,928409.0,152672
-264709.00,927976.0,152684
-263906.00,927548.0,152695
-264378.00,927288.0,152708
-265084.00,927327.0,152719
-265155.00,927444.0,152731
-264182.00,927852.0,152742
-263678.00,928394.0,152755
-264530.00,928700.0,152766
-264644.00,928849.0,152778
-264561.00,928662.0,152790
-264152.00,927990.0,152802
-263677.00,927719.0,152813
-264537.00,927430.0,152825
