495.74,7745
176.39,1493.58,16685
179.20,1493.89,16697
176.59,1493.65,16708
178.34,1495.64,16720
178.33,1496.09,16732
176.63,1496.44,16744
180.09,1496.72,16755
176.16,1495.67,16768
175.78,1495.36,16779
177.86,1495.18,16791
178.21,1496.07,16802
178.39,1495.30,16815
176.77,1495.07,16826
178.52,1494.12,16838
177.56,1492.57,16849
177.46,1492.74,16862
178.16,1493.11,16873
177.19,1495.08,16885
177.76,1495.54,16897
177.61,1496.38,16909
179.29,1496.48,16920
178.82,1496.57,16932
176.96,1495.27,16944
178.55,1495.77,16956
179.89,1496.56,16967
175.96,1496.93,16979
177.02,1496.27,16991
179.27,1495.53,17003
176.44,1493.62,17014
179.41,1493.09,17027
176.28,1492.34,17038
176.43,1495.04,17050
179.05,1494.83,17061
179.10,1496.91,17074
179.43,1495.09,17085
175.25,1495.80,17097
175.40,1494.74,17108
178.03,1495.59,17121
179.00,1496.37,17132
178.01,1495.89,17143
176.70,1495.97,17156
178.61,1495.04,17167
178.08,1494.30,17179
177.68,1493.02,17190
176.67,1492.70,17203
176.45,1494.51,17214
179.09,1495.36,17226
178.23,1496.23,17238
178.09,1494.34,17250
178.66,1493.76,17261
174.48,1492.55,17273
178.68,1492.62,17285
178.95,1494.01,17297
177.88,1494.87,17308
177.76,1495.66,17320
178.75,1495.29,17332
177.46,1495.76,17344
176.23,1492.72,17355
176.39,1494.12,17368
179.18,1494.56,17379
178.43,1496.47,17391
176.97,1496.53,17402
179.22,1496.50,17415
175.65,1495.12,17426
176.36,1493.95,17438
178.73,1493.48,17449
177.05,1493.78,17462
178.09,1493.74,17473
178.25,1493.79,17485
178.68,1492.92,17497
180.28,1493.49,17509
175.58,1492.04,17520
176.33,1492.66,17532
178.12,1494.10,17544
180.60,1495.93,17556
177.41,1496.23,17567
177.71,1495.70,17580
177.53,1495.51,17591
176.15,1494.17,17602
179.47,1494.18,17614
177.46,1494.29,17626
176.96,1495.28,17638
177.76,1495.34,17649
178.69,1494.41,17661
180.72,1494.87,17673
175.77,1493.15,17685
175.63,1493.29,17696
177.26,1494.72,17709
178.90,1496.15,17720
176.71,1496.30,17732
177.32,1495.76,17743
177.54,1494.55,17756
178.59,1492.49,17767
177.41,1492.34,17779
177.11,1492.87,17790
177.33,1494.73,17803
178.78,1495.25,17814
180.59,1495.23,17826
178.11,1495.59,17838
173.82,1494.43,17850
177.35,1494.35,17861
178.47,1495.62,17873
179.78,1497.26,17885
177.25,1497.13,17897
175.29,1496.27,17908
179.50,1495.30,17921
177.24,1492.71,17932
178.89,1492.50,17944
177.11,1492.38,17955
176.79,1494.28,17968
178.49,1495.07,17979
179.44,1496.59,17991
179.28,1497.34,18002
175.87,1496.35,18015
175.47,1496.42,18026
176.73,1496.42,18038
179.44,1497.76,18050
178.59,1496.66,18062
175.82,1496.59,18073
177.88,1494.92,18084
178.00,1493.53,18097
177.89,1492.80,18108
176.63,1493.00,18120
177.62,1494.84,18131
177.93,1495.87,18144
179.66,1496.27,18155
177.96,1496.41,18167
