989625.0,7777
-300487.00,990172.0,11578
-300713.00,989764.0,11590
-300416.00,989701.0,11601
-300871.00,989393.0,11614
-301865.00,989257.0,11625
-300450.00,989164.0,11636
-300260.00,988899.0,11649
-301734.00,988686.0,11660
-301130.00,988831.0,11672
-301198.00,989125.0,11683
-301536.00,989468.0,11696
-300692.00,989800.0,11707
-300617.00,990246.0,11719
-301058.00,990549.0,11730
-301301.00,990608.0,11743
-300564.00,990711.0,11754
-300615.00,990657.0,11766
-300851.00,990422.0,11778
-300324.00,990380.0,11790
-300731.00,990061.0,11801
-301766.00,989504.0,11813
-300776.00,989356.0,11825
-301319.00,989436.0,11837
-301568.00,989487.0,11848
-300860.00,989377.0,11860
-300664.00,989297.0,11872
-300391.00,989627.0,11884
-300159.00,990174.0,11895
-301166.00,990463.0,11908
-301207.00,990523.0,11919
-300204.00,990471.0,11931
-299749.00,990421.0,11942
-300120.00,990501.0,11955
-301358.00,990488.0,11966
-301391.00,990165.0,11978
-300944.00,989582.0,11990
-300108.00,989229.0,12002
-300298.00,989088.0,12013
-301578.00,989195.0,12025
-301468.00,989621.0,12037
-300586.00,989717.0,12049
-300325.00,989602.0,12060
-300599.00,989790.0,12072
-300503.00,989885.0,12084
-301116.00,989915.0,12096
-301268.00,990239.0,12107
-299251.00,990291.0,12120
-299611.00,989956.0,12131
-302094.00,989641.0,12143
-301164.00,989432.0,12154
-300114.00,989479.0,12167
-301170.00,989502.0,12178
-301095.00,989548.0,12190
-301267.00,989434.0,12201
-301949.00,989325.0,12214
-300527.00,989354.0,12225
-301578.00,989471.0,12237
-302098.00,989628.0,12249
-300410.00,989739.0,12261
-300846.00,989580.0,12272
-300031.00,989586.0,12284
-299733.00,989628.0,12296
-302133.00,989510.0,12308
-301331.00,989402.0,12319
-300531.00,989123.0,12332
-300864.00,989073.0,12343
-300464.00,988867.0,12355
-301593.00,989003.0,12366
-301681.00,989092.0,12379
-300761.00,988991.0,12390
-300917.00,989295.0,12402
-301029.00,989594.0,12413
-300683.00,989721.0,12426
-301179.00,990081.0,12437
-300713.00,990086.0,12448
-300276.00,989832.0,12461
-301433.00,989639.0,12472
-300793.00,989278.0,12484
-300416.00,989116.0,12495
-300926.00,989114.0,12508
-300693.00,989186.0,12519
-301801.00,989072.0,12531
-301457.00,988980.0,12542
-300131.00,989140.0,12555
-300978.00,989360.0,12566
-301113.00,989607.0,12578
-301015.00,990016.0,12590
-301100.00,990212.0,12602
-299950.00,990392.0,12613
-300654.00,990805.0,12625
-300604.00,990556.0,12637
-301093.00,990203.0,12649
-299902.00,989775.0,12660
-300356.00,989461.0,12673
-301316.00,989514.0,12684
-301132.00,989344.0,12696
-301819.00,989118.0,12707
-300654.00,989061.0,12720
-299797.00,989045.0,12731
-301518.00,989329.0,12743
-302174.00,989766.0,12754
-300525.00,990185.0,12767
-300078.00,990636.0,12778
-300136.00,990706.0,12790
-299966.00,990934.0,12802
-301179.00,990892.0,12814
-300653.00,990860.0,12825
-300029.00,990693.0,12837
-300231.00,990149.0,12849
-300733.00,989685.0,12861
-302154.00,989191.0,12872
-300455.00,988759.0,12884
-300281.00,988601.0,12896
-301297.00,988691.0,12908
-300868.00,989162.0,12919
-301987.00,989563.0,12932
-300749.00,990147.0,12943
-299244.00,990662.0,12955
-300813.00,990832.0,12966
-301020.00,990752.0,12979
-300316.00,990860.0,12990
-299916.00,990917.0,13002
